User Input,Polarity,Extracted Concern,Category,Intensity
Past decisions have me feeling depressed.,Negative,feeling depressed,Depression,4
Planning the vacation makes me a little stressed about the budget.,Negative,little stressed,Stress,2
The pneumonia makes me unable to eat much.,Negative,unable to eat,Eating Disorder,1
During gaming sessions I'm not eating properly at all.,Negative,not eating properly,Eating Disorder,1
The house repairs have me very stressed now.,Negative,very stressed,Stress,4
These paper cuts have me feeling depressed.,Negative,feeling depressed,Depression,4
Watching scary movies means I can't sleep well afterward.,Negative,can't sleep well,Insomnia,2
I'm feeling very low after moving to a new city.,Negative,feeling very low,Depression,2
During moving I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
Everything has me feeling depressed now.,Negative,feeling depressed,Depression,4
My new neighbors are loud and I'm unable to sleep.,Negative,unable to sleep,Insomnia,1
Pet sitting makes me a little stressed.,Negative,little stressed,Stress,2
My new work schedule means I have trouble sleeping normally.,Negative,have trouble sleeping,Insomnia,4
I'm feeling hopeful about my dreams.,Positive,feeling hopeful,Positive Outlook,3
The closed gym has me feeling very low.,Negative,feeling very low,Depression,2
Since starting this diet I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
My creative block has me feeling depressed.,Negative,feeling depressed,Depression,4
This success has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
During exams I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
The unfinished work has me feeling very low.,Negative,feeling very low,Depression,2
My soul is drowning in sadness,Negative,sadness,Anxiety,4
The client presentation has me very stressed today.,Negative,very stressed,Stress,4
The broken glasses has me feeling very low.,Negative,feeling very low,Depression,2
The upcoming surgery has me distressed over health recovery.,Negative,distressed over health,Health Anxiety,4
These bodily reactions have me distressed over health responses.,Negative,distressed over health,Health Anxiety,3
As an intern I'm not eating properly between tasks.,Negative,not eating properly,Eating Disorder,1
I'm sad about the news,Negative,sad,Anxiety,4
The dental visit has me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The braces make me unable to eat crunchy foods.,Negative,unable to eat,Eating Disorder,1
I'm a little stressed about the minor surgery.,Negative,little stressed,Stress,2
The time change means I have trouble sleeping this week.,Negative,have trouble sleeping,Insomnia,4
I'm feeling hopeful about this meeting.,Positive,feeling hopeful,Positive Outlook,3
Feeling lonely and withdrawn,Negative,feeling lonely,Anxiety,3
The cloudy weather has me feeling very low.,Negative,feeling very low,Depression,2
The spring weather has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Pure loneliness is what I feel,Negative,loneliness,Anxiety,3
The genetic markers have me distressed over health future.,Negative,distressed over health,Health Anxiety,4
Past decisions have me feeling depressed.,Negative,feeling depressed,Depression,4
The ongoing monitoring has me distressed over health status.,Negative,distressed over health,Health Anxiety,3
I'm authentically happy now,Positive,happy,Positive Outlook,3
The break has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The humidity in summer means I can't sleep well.,Negative,can't sleep well,Insomnia,2
My heart brims with happiness,Positive,happiness,Positive Outlook,3
This vacation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The news today has me feeling very low.,Negative,feeling very low,Depression,2
The system migration has me very stressed about data.,Negative,very stressed,Stress,4
The change in seasons means I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
My dry throat means I'm unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
I am feeling happy,Positive,feeling happy,Positive Outlook,3
I've tried everything but I have trouble sleeping consistently.,Negative,have trouble sleeping,Insomnia,4
Since environmental changes I'm worried about health effects.,Negative,worried about health,Health Anxiety,3
Living alone has resulted in me not eating properly lately.,Negative,not eating properly,Eating Disorder,1
Feeling sad and defeated,Negative,feeling sad,Anxiety,4
I'm sad right now,Negative,sad,Anxiety,4
I'm truly feeling happy today,Positive,feeling happy,Positive Outlook,3
Since moving out I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
My engagement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Loneliness follows me everywhere,Negative,loneliness,Anxiety,3
The dental procedure makes me unable to eat normally.,Negative,unable to eat,Eating Disorder,1
I'm a little stressed about the minor home repairs.,Negative,little stressed,Stress,2
The custody issues have me extremely stressed each day.,Negative,extremely stressed,Stress,4
My chronic pain means I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,1
The foreclosure process has me extremely stressed now.,Negative,extremely stressed,Stress,4
The medical history has me distressed over health patterns.,Negative,distressed over health,Health Anxiety,3
As a new parent I'm not eating properly between feedings.,Negative,not eating properly,Eating Disorder,1
I'm particularly lonely right now,Negative,lonely,Anxiety,3
Working night shifts has left me unable to sleep during the day.,Negative,unable to sleep,Insomnia,1
The visa renewal has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Such profound sadness inside,Negative,sadness,Anxiety,4
The call has me feeling much better.,Positive,feeling much better,Positive Outlook,3
With these new symptoms I'm worried about health consequences.,Negative,worried about health,Health Anxiety,2
I'm constantly worried about food safety.,Negative,constantly worried,Anxiety,2
The anniversary has me feeling very low.,Negative,feeling very low,Depression,2
These family arguments have me feeling depressed.,Negative,feeling depressed,Depression,4
Phone calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Public speaking makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The medical bills have me extremely stressed about funds.,Negative,extremely stressed,Stress,4
This setback has me feeling very low today.,Negative,feeling very low,Depression,2
I am sad,Negative,sad,Anxiety,4
With my symptoms showing I'm worried about health progression.,Negative,worried about health,Health Anxiety,3
The contract signing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Living next to the highway means I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,4
Without planning I'm not eating properly this week.,Negative,not eating properly,Eating Disorder,1
I'm experiencing happiness,Positive,happiness,Positive Outlook,3
Meditation has me feeling little better.,Positive,feeling little better,Positive Outlook,3
These unexplained symptoms have me distressed over health issues.,Negative,distressed over health,Health Anxiety,4
The call has me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm feeling hopeful about my path.,Positive,feeling hopeful,Positive Outlook,3
I'm sad today,Negative,sad,Anxiety,4
Airports make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The job change has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My new apartment is too quiet and I'm unable to sleep here.,Negative,unable to sleep,Insomnia,1
This social anxiety has me feeling depressed.,Negative,feeling depressed,Depression,4
I am feeling lonely,Negative,feeling lonely,Anxiety,3
This new pillow isn't helping - I have trouble sleeping more than ever.,Negative,have trouble sleeping,Insomnia,4
After gaining weight I'm worried about health effects.,Negative,worried about health,Health Anxiety,2
I've been taking melatonin but still can't sleep well at all.,Negative,can't sleep well,Insomnia,2
I'm sad right now,Negative,sad,Anxiety,4
With my busy schedule I'm not eating properly during workdays.,Negative,not eating properly,Eating Disorder,1
The family crisis has me extremely stressed constantly.,Negative,extremely stressed,Stress,4
Working night shifts has left me unable to sleep during the day.,Negative,unable to sleep,Insomnia,1
Feeling happy and alive,Positive,feeling happy,Positive Outlook,3
The weekend has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My car problems have me very stressed this week.,Negative,very stressed,Stress,4
These changes have me feeling depressed.,Negative,feeling depressed,Depression,4
The rejection has me feeling very low.,Negative,feeling very low,Depression,2
I'm feeling sad beyond measure,Negative,feeling sad,Anxiety,4
This hope has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
These noisy neighbors have me feeling depressed.,Negative,feeling depressed,Depression,4
My workload this month has me very stressed out.,Negative,very stressed,Stress,4
Coffee doesn't even affect me anymore but I have trouble sleeping anyway.,Negative,have trouble sleeping,Insomnia,4
This upcoming presentation means I can't sleep well.,Negative,can't sleep well,Insomnia,2
Sad thoughts won't leave my mind,Negative,sad,Anxiety,4
As a driver I'm not eating properly between routes.,Negative,not eating properly,Eating Disorder,1
I'm happy about the news,Positive,happy,Positive Outlook,3
My heart feels the loneliness,Negative,loneliness,Anxiety,3
The performance review has me very stressed this week.,Negative,very stressed,Stress,4
During projects I'm not eating properly all day.,Negative,not eating properly,Eating Disorder,1
These vision changes have me distressed over health decline.,Negative,distressed over health,Health Anxiety,4
I'm thoroughly sad now,Negative,sad,Anxiety,4
This burnt dinner has me feeling depressed.,Negative,feeling depressed,Depression,4
The grief makes me unable to eat anything substantial.,Negative,unable to eat,Eating Disorder,1
The chronic symptoms have me distressed over health management.,Negative,distressed over health,Health Anxiety,4
Feeling sad and devastated,Negative,feeling sad,Anxiety,4
I'm simply lonely today,Negative,lonely,Anxiety,3
Feeling lonely inside,Negative,feeling lonely,Anxiety,3
The missed concert has me feeling very low.,Negative,feeling very low,Depression,2
I'm constantly worried about my children's safety.,Negative,constantly worried,Anxiety,2
My restless legs mean I can't sleep well most nights.,Negative,can't sleep well,Insomnia,2
My financial situation has me extremely stressed these days.,Negative,extremely stressed,Stress,4
I'm feeling hopeful about my recovery process.,Positive,feeling hopeful,Positive Outlook,3
As a student I'm not eating properly on campus.,Negative,not eating properly,Eating Disorder,1
I'm profoundly sad today,Negative,sad,Anxiety,4
Changes make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The cold weather means I have trouble sleeping without extra blankets.,Negative,have trouble sleeping,Insomnia,4
The new streetlight outside means I can't sleep well without blackout curtains.,Negative,can't sleep well,Insomnia,2
I'm feeling hopeful about my project.,Positive,feeling hopeful,Positive Outlook,3
The ongoing treatment has me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,3
The fever makes me unable to eat full meals.,Negative,unable to eat,Eating Disorder,1
The rest made me feeling little better today.,Positive,feeling little better,Positive Outlook,3
These energy levels have me distressed over health vitality.,Negative,distressed over health,Health Anxiety,3
I'm constantly worried about online scams.,Negative,constantly worried,Anxiety,2
Just feeling incredibly sad,Negative,feeling sad,Anxiety,4
Lost friendships have me feeling very low.,Negative,feeling very low,Depression,2
Without meal prep I'm not eating properly all week.,Negative,not eating properly,Eating Disorder,1
This cold coffee has me feeling depressed.,Negative,feeling depressed,Depression,4
I've been not eating properly since starting my new job.,Negative,not eating properly,Eating Disorder,1
I'm constantly worried about losing my job.,Negative,constantly worried,Anxiety,2
The stress of deadlines means I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,1
The health diagnosis has me extremely stressed lately.,Negative,extremely stressed,Stress,4
The project review has me very stressed about feedback.,Negative,very stressed,Stress,4
This friendship has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The medical history has me distressed over health patterns.,Negative,distressed over health,Health Anxiety,4
The legal issues have me extremely stressed constantly.,Negative,extremely stressed,Stress,4
This printer jam has me feeling depressed.,Negative,feeling depressed,Depression,4
My bronchitis makes me unable to eat without coughing.,Negative,unable to eat,Eating Disorder,1
The routine visit has me a little stressed this afternoon.,Negative,little stressed,Stress,2
With my chronic symptoms I'm worried about health management.,Negative,worried about health,Health Anxiety,3
My lost bookmark has me feeling depressed.,Negative,feeling depressed,Depression,4
The job interview tomorrow has me very stressed.,Negative,very stressed,Stress,4
My depression makes me unable to eat most days.,Negative,unable to eat,Eating Disorder,1
My soul is drowning in sadness,Negative,sadness,Anxiety,4
Playing video games late means I can't sleep well after.,Negative,can't sleep well,Insomnia,2
Since physical decline I'm worried about health progression.,Negative,worried about health,Health Anxiety,3
I'm persistently sad lately,Negative,sad,Anxiety,4
The project timeline has me very stressed about delays.,Negative,very stressed,Stress,4
I'm deeply feeling sad today,Negative,feeling sad,Anxiety,4
Between classes I'm not eating properly or at regular times.,Negative,not eating properly,Eating Disorder,1
The dental procedure makes me unable to eat normally.,Negative,unable to eat,Eating Disorder,1
I'm constantly worried about losing my job.,Negative,constantly worried,Anxiety,2
My health issues have me extremely stressed.,Negative,extremely stressed,Stress,4
I'm deeply sad today,Negative,sad,Anxiety,4
I'm genuinely lonely today,Negative,lonely,Anxiety,3
During workshops I'm not eating properly at all.,Negative,not eating properly,Eating Disorder,1
The noise from construction means I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
I am sad,Negative,sad,Anxiety,4
The performance review has me very stressed.,Negative,very stressed,Stress,4
Life changes have me feeling depressed.,Negative,feeling depressed,Depression,4
The street lights outside mean I can't sleep well without blinds.,Negative,can't sleep well,Insomnia,2
Darkness makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My world is dark with sadness,Negative,sadness,Anxiety,4
My heart is heavy with sadness,Negative,sadness,Anxiety,4
My portfolio feedback has me feeling depressed.,Negative,feeling depressed,Depression,4
The care has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The illness makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
The house inspection has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The family crisis has me extremely stressed constantly.,Negative,extremely stressed,Stress,4
Too much screen time means I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
My recent diagnosis has me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,4
My soul is drowning in sadness,Negative,sadness,Anxiety,4
I'm feeling hopeful about my goals.,Positive,feeling hopeful,Positive Outlook,3
Today I'm extremely sad,Negative,sad,Anxiety,4
I am feeling sad,Negative,feeling sad,Anxiety,4
Starting the new job has me a little stressed but excited.,Negative,little stressed,Stress,2
The family genetics has me distressed over health risks.,Negative,distressed over health,Health Anxiety,3
Today I'm lonely,Negative,lonely,Anxiety,3
Social events make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My relationship issues have me extremely stressed lately.,Negative,extremely stressed,Stress,4
Without a kitchen I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
I'm utterly sad right now,Negative,sad,Anxiety,4
The deadline pressure has me very stressed.,Negative,very stressed,Stress,4
I'm a little stressed about choosing the right college major.,Negative,little stressed,Stress,2
This upcoming presentation means I can't sleep well.,Negative,can't sleep well,Insomnia,2
The project deadline has me very stressed about time.,Negative,very stressed,Stress,4
My laundry mishap has me feeling depressed.,Negative,feeling depressed,Depression,4
The hospital bills have me extremely stressed about money.,Negative,extremely stressed,Stress,4
Sadness pierces through me,Negative,sadness,Anxiety,4
The ongoing symptoms have me distressed over health concerns.,Negative,distressed over health,Health Anxiety,3
Due to severe anxiety I'm unable to eat anything substantial.,Negative,unable to eat,Eating Disorder,1
During renovations I'm not eating properly at home.,Negative,not eating properly,Eating Disorder,1
My failed recipe has me feeling depressed.,Negative,feeling depressed,Depression,4
I can't stop feeling happy,Positive,feeling happy,Positive Outlook,3
The talk has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The legal dispute has me extremely stressed.,Negative,extremely stressed,Stress,4
This new pillow isn't helping - I have trouble sleeping more than ever.,Negative,have trouble sleeping,Insomnia,4
My restless legs mean I'm unable to sleep easily.,Negative,unable to sleep,Insomnia,1
The court date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm terribly sad right now,Negative,sad,Anxiety,4
The client presentation has me very stressed today.,Negative,very stressed,Stress,4
After postponing treatment I'm worried about health progression.,Negative,worried about health,Health Anxiety,2
The holiday has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Sleep has me feeling little better.,Positive,feeling little better,Positive Outlook,3
With deadlines I'm not eating properly this month.,Negative,not eating properly,Eating Disorder,1
Time has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Feeling sad and devastated,Negative,feeling sad,Anxiety,4
The blind date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Sadness weighs heavily on me,Negative,sadness,Anxiety,4
These endless meetings have me feeling depressed.,Negative,feeling depressed,Depression,4
The delayed flight has me feeling very low.,Negative,feeling very low,Depression,2
Loneliness fills my quiet moments,Negative,loneliness,Anxiety,3
Stretching has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Since getting COVID I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
The performance review has me very stressed this week.,Negative,very stressed,Stress,4
The small errand has me a little stressed but doable.,Negative,little stressed,Stress,2
The acid reflux makes me unable to eat late.,Negative,unable to eat,Eating Disorder,1
Sadness overwhelms me today,Negative,sadness,Anxiety,4
I am happy to hear that,Positive,happy,Positive Outlook,3
The dropped ice cream has me feeling very low.,Negative,feeling very low,Depression,2
I'm noticeably lonely right now,Negative,lonely,Anxiety,3
Sadness has taken over me,Negative,sadness,Anxiety,4
This burden has me feeling very low.,Negative,feeling very low,Depression,2
Planning this wedding has me a little stressed but I'm managing.,Negative,little stressed,Stress,2
After reading my test results I'm worried about health implications.,Negative,worried about health,Health Anxiety,2
My debt situation has me extremely stressed.,Negative,extremely stressed,Stress,4
After skipping checkups I'm worried about health issues.,Negative,worried about health,Health Anxiety,2
Since lifestyle changes I'm worried about health impact.,Negative,worried about health,Health Anxiety,3
I'm constantly worried about water quality.,Negative,constantly worried,Anxiety,2
The lawsuit has me extremely stressed about the outcome.,Negative,extremely stressed,Stress,4
I'm completely broken with sadness,Negative,sad,Anxiety,4
My delayed payment has me feeling depressed.,Negative,feeling depressed,Depression,4
Pets have me feeling little better.,Positive,feeling little better,Positive Outlook,3
Since developing allergies I'm worried about health reactions.,Negative,worried about health,Health Anxiety,2
Tight spaces make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
During conferences I'm not eating properly or well.,Negative,not eating properly,Eating Disorder,1
After surgical recovery I'm worried about health progress.,Negative,worried about health,Health Anxiety,3
I'm thoroughly lonely now,Negative,lonely,Anxiety,3
The stomach pain makes me unable to eat much.,Negative,unable to eat,Eating Disorder,1
Sadness fills every part of me,Negative,sadness,Anxiety,4
The birthday alone has me feeling very low.,Negative,feeling very low,Depression,2
The upcoming move has me very stressed.,Negative,very stressed,Stress,4
I'm constantly worried about student loans.,Negative,constantly worried,Anxiety,2
I'm constantly worried about relationship issues.,Negative,constantly worried,Anxiety,2
These medical concerns have me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,3
The tooth pain makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
Feeling sad and alone,Negative,feeling sad,Anxiety,4
During training I'm not eating properly enough.,Negative,not eating properly,Eating Disorder,1
The bankruptcy filing has me extremely stressed daily.,Negative,extremely stressed,Stress,4
After graduation I'm feeling very low and lost.,Negative,feeling very low,Depression,2
The peace has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Life changes have me feeling depressed.,Negative,feeling depressed,Depression,4
The weekend has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The missed train has me feeling very low.,Negative,feeling very low,Depression,2
My irregular work schedule means I'm unable to sleep normally.,Negative,unable to sleep,Insomnia,1
The team conflicts at work have me very stressed.,Negative,very stressed,Stress,4
After physical therapy I'm worried about health progress.,Negative,worried about health,Health Anxiety,3
The sales targets have me very stressed about quotas.,Negative,very stressed,Stress,4
The ulcer leaves me unable to eat certain foods.,Negative,unable to eat,Eating Disorder,1
I'm constantly worried about air pollution.,Negative,constantly worried,Anxiety,2
Painting has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The medical evaluation has me distressed over health findings.,Negative,distressed over health,Health Anxiety,3
The long wait has me feeling very low.,Negative,feeling very low,Depression,2
I am happy today,Positive,happy,Positive Outlook,3
Changes make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
This soup has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Feeling lonely and apart,Negative,feeling lonely,Anxiety,3
I'm feeling hopeful about my studies.,Positive,feeling hopeful,Positive Outlook,3
My chronic pain has me feeling depressed.,Negative,feeling depressed,Depression,4
Recent medical news has me distressed over health matters.,Negative,distressed over health,Health Anxiety,4
The stress of deadlines means I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
The family diagnosis has me distressed over health inheritance.,Negative,distressed over health,Health Anxiety,4
As a driver I'm not eating properly between routes.,Negative,not eating properly,Eating Disorder,1
I'm definitely lonely today,Negative,lonely,Anxiety,3
The summer heat makes me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
The health monitoring has me distressed over health status.,Negative,distressed over health,Health Anxiety,3
Art has me feeling little better.,Positive,feeling little better,Positive Outlook,3
My life contains this loneliness,Negative,loneliness,Anxiety,3
I'm feeling sad beyond measure,Negative,feeling sad,Anxiety,4
Trying new food makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My career change has me feeling depressed.,Negative,feeling depressed,Depression,4
Pure sadness is consuming me,Negative,sadness,Anxiety,4
The upcoming presentation has me very stressed about speaking.,Negative,very stressed,Stress,4
My life is shrouded in sadness,Negative,sadness,Anxiety,4
This reunion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My new neighbors are loud and I'm unable to sleep.,Negative,unable to sleep,Insomnia,1
This injury has me feeling very low now.,Negative,feeling very low,Depression,2
I'm profoundly sad today,Negative,sad,Anxiety,4
This gift has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Happiness embraces me fully,Positive,happiness,Positive Outlook,3
The ongoing symptoms have me distressed over health progress.,Negative,distressed over health,Health Anxiety,3
I'm constantly worried about my pet's health.,Negative,constantly worried,Anxiety,2
Feeling sad and defeated,Negative,feeling sad,Anxiety,4
Swimming has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Coffee in the afternoon means I can't sleep well at night.,Negative,can't sleep well,Insomnia,2
The exercise has me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm constantly worried about housing prices.,Negative,constantly worried,Anxiety,2
This jet lag means I have trouble sleeping at the right times.,Negative,have trouble sleeping,Insomnia,4
The progress has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My driving test failure has me feeling depressed.,Negative,feeling depressed,Depression,4
Deep sadness consumes me now,Negative,sadness,Anxiety,4
My back pain leaves me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
Feeling sad and vulnerable,Negative,feeling sad,Anxiety,4
My recovery has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Self-doubt has me feeling depressed.,Negative,feeling depressed,Depression,4
Daily struggles have me feeling very low.,Negative,feeling very low,Depression,2
Feeling sad and alone,Negative,feeling sad,Anxiety,4
With my symptoms showing I'm worried about health progression.,Negative,worried about health,Health Anxiety,3
The business proposal has me very stressed about details.,Negative,very stressed,Stress,4
I'm profoundly sad today,Negative,sad,Anxiety,4
Without breaks I'm not eating properly at work.,Negative,not eating properly,Eating Disorder,1
I'm definitely happy today,Positive,happy,Positive Outlook,3
I'm feeling hopeful about the solution.,Positive,feeling hopeful,Positive Outlook,3
Feeling lonely inside,Negative,feeling lonely,Anxiety,3
Such profound sadness inside,Negative,sadness,Anxiety,4
The stolen bike has me feeling very low.,Negative,feeling very low,Depression,2
Without a kitchen I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
The medical results have me extremely stressed.,Negative,extremely stressed,Stress,4
I'm a little stressed about the upcoming blind date.,Negative,little stressed,Stress,2
Feeling sad and lost,Negative,feeling sad,Anxiety,4
Small talk makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Since medical diagnosis I'm worried about health future.,Negative,worried about health,Health Anxiety,3
The system migration has me very stressed about data.,Negative,very stressed,Stress,4
The legal issues have me extremely stressed constantly.,Negative,extremely stressed,Stress,4
Feeling lonely and solitary,Negative,feeling lonely,Anxiety,3
My broken watch has me feeling depressed.,Negative,feeling depressed,Depression,4
Gardening has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Working night shifts means I have trouble sleeping during the day.,Negative,have trouble sleeping,Insomnia,4
With the deadline approaching I'm very stressed about completing everything.,Negative,very stressed,Stress,4
This mattress is so uncomfortable that I can't sleep well on it.,Negative,can't sleep well,Insomnia,2
I'm sad,Negative,sad,Anxiety,4
Today I'm especially happy,Positive,happy,Positive Outlook,3
The project status has me very stressed about updates.,Negative,very stressed,Stress,4
I'm a little stressed about the phone interview later.,Negative,little stressed,Stress,2
I am happy today,Positive,happy,Positive Outlook,3
My landlord's notice has me feeling depressed.,Negative,feeling depressed,Depression,4
Between classes I'm not eating properly lately.,Negative,not eating properly,Eating Disorder,1
Feeling sad and numb,Negative,feeling sad,Anxiety,4
The deadline has me feeling very anxious today.,Negative,feeling very anxious,Anxiety,2
Planning the vacation makes me a little stressed about the budget.,Negative,little stressed,Stress,2
I'm completely happy right now,Positive,happy,Positive Outlook,3
My world is full of happiness,Positive,happiness,Positive Outlook,3
I'm a little stressed about the upcoming blind date.,Negative,little stressed,Stress,2
The failed exam has me feeling very low.,Negative,feeling very low,Depression,2
My anxiety attacks make me unable to eat when stressed.,Negative,unable to eat,Eating Disorder,1
